epoch,total_loss,recon_loss,phys_loss,mean_k,porosity
1,80.40623474121094,0.08746182918548584,80.31877136230469,4.3663265387294814e-05,4.57763671875e-05
2,80.39445495605469,0.0874948725104332,80.30696105957031,9.298929944634438e-05,9.1552734375e-05
3,80.37948608398438,0.08753883838653564,80.29194641113281,0.0001537987554911524,0.0001510620058979839
4,80.36376190185547,0.0876002088189125,80.27616119384766,0.00021783416741527617,0.000213623046875
5,80.34188079833984,0.08765451610088348,80.25422668457031,0.00030892094946466386,0.0002990722714457661
6,80.30626678466797,0.08777832984924316,80.21849060058594,0.0004514212778303772,0.0004425048828125
7,80.28093719482422,0.08784054219722748,80.19309997558594,0.0005479714600369334,0.0005477905506268144
8,80.26049041748047,0.08789977431297302,80.17259216308594,0.0006360943662002683,0.0006256103515625
9,80.2452621459961,0.08792711049318314,80.15733337402344,0.0006973169511184096,0.0006866455078125
10,80.22978973388672,0.08794668316841125,80.141845703125,0.0007606041617691517,0.0007476806640625
